Review Text,Label,Window,User Name,User ID
The color is slightly different from the pictures but still fine.,Neutral,Flipkart,Karan Singh,U0001
The product arrived damaged and unusable.,Negative,Amazon,Pooja Sethi,U0002
Excellent build quality and fast performance.,Positive,Amazon,Anjali Kapoor,U0003
"The product is okay, works as described but nothing exceptional.",Neutral,Amazon,Anjali Kapoor,U0004
"Lightweight and easy to use, definitely worth the price.",Positive,Amazon,Rohit Yadav,U0005
Excellent build quality and fast performance.,Positive,Flipkart,Sneha Rani,U0006
Customer service was unhelpful when I tried to return it.,Negative,Flipkart,Amit Verma,U0007
"Lightweight and easy to use, definitely worth the price.",Positive,Amazon,Amit Verma,U0008
"It's functional, but I have seen better options.",Neutral,Amazon,Anjali Kapoor,U0009
"Lightweight and easy to use, definitely worth the price.",Positive,Flipkart,Vikram Malhotra,U0010
"It's functional, but I have seen better options.",Neutral,Amazon,Karan Singh,U0011
Excellent build quality and fast performance.,Positive,Flipkart,Karan Singh,U0012
The color is slightly different from the pictures but still fine.,Neutral,Amazon,Vikram Malhotra,U0013
"Packaging was fine, but delivery took longer than expected.",Neutral,Flipkart,Rahul Mehta,U0014
"The product is okay, works as described but nothing exceptional.",Neutral,Amazon,Karan Singh,U0015
"Poor quality material, not worth the price.",Negative,Flipkart,Priya Sharma,U0016
Very comfortable to wear and looks stylish.,Positive,Flipkart,Rohit Yadav,U0017
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Flipkart,Neha Gupta,U0018
"Average quality, neither too good nor too bad.",Neutral,Flipkart,Neha Gupta,U0019
Completely disappointed — it stopped working after two days.,Negative,Amazon,Pooja Sethi,U0020
This phone’s battery lasts all day and the camera quality is stunning!,Positive,Amazon,Rohit Yadav,U0021
The product arrived damaged and unusable.,Negative,Amazon,Karan Singh,U0022
"It's functional, but I have seen better options.",Neutral,Amazon,Karan Singh,U0023
The product exceeded my expectations in every way.,Positive,Amazon,Rohit Yadav,U0024
Very comfortable to wear and looks stylish.,Positive,Flipkart,Amit Verma,U0025
"Lightweight and easy to use, definitely worth the price.",Positive,Amazon,Vikram Malhotra,U0026
Very comfortable to wear and looks stylish.,Positive,Flipkart,Sneha Rani,U0027
"Lightweight and easy to use, definitely worth the price.",Positive,Flipkart,Rahul Mehta,U0028
"Packaging was fine, but delivery took longer than expected.",Neutral,Amazon,Rohit Yadav,U0029
Excellent build quality and fast performance.,Positive,Flipkart,Pooja Sethi,U0030
